Cód.,EMEC,Curso,Alunos ativos,Tipo,Turno
13301100,13434,ADMINISTRAÇÃO,292,BAC,D
13301200,13434,ADMINISTRAÇÃO,181,BAC,N
31301200,118546,ADMINISTRAÇÃO,243,BAC,N
91402100,99800,AGRONOMIA,309,BAC,D
15101100,1129147,ARQUITETURA URBANISMO,229,BAC,D
13317100,21164,ARTE MÍDIA,166,BAC,D
14102100,13446,CIÊNCIA DA COMPUTAÇÃO,743,BAC,D
21103114,13432,CIÊNCIAS FÍSICA,1,LIC,M
41201110,99802,CIÊNCIAS BIOLÓGICAS,142,LIC,D
51201110,99804,CIÊNCIAS BIOLÓGICAS,134,LIC,D
21201110,1152882,CIÊNCIAS BIOLÓGICAS,150,LIC,M
41201210,99802,CIÊNCIAS BIOLÓGICAS,203,LIC,N
51201210,99804,CIÊNCIAS BIOLÓGICAS,159,LIC,N
31360200,79567,CIÊNCIAS CONTÁBEIS,255,BAC,N
13304100,13451,CIÊNCIAS ECONÔMICAS,136,BAC,M
13304200,13451,CIÊNCIAS ECONÔMICAS,165,BAC,N
13305150,313436,CIÊNCIAS SOCIAIS,63,BAC,D
13305250,313436,CIÊNCIAS SOCIAIS,2,BAC,N
13305110,13436,CIÊNCIAS SOCIAIS,2,LIC,D
13305210,13436,CIÊNCIAS SOCIAIS,133,LIC,N
71305210,1106595,CIÊNCIAS SOCIAIS,147,LIC,N
13306100,1149786,COMUNICAÇÃO SOCIAL,140,BAC,D
13306200,1149786,COMUNICAÇÃO SOCIAL,148,BAC,N
11104120,13447,DESIGN,255,BAC,D
31350100,13433,DIREITO,285,BAC,M
31350200,13433,DIREITO,339,BAC,N
31350300,13433,DIREITO,279,BAC,V
12204100,1134328,ENFERMAGEM,203,BAC,D
21204100,79572,ENFERMAGEM,266,BAC,D
51204100,107492,ENFERMAGEM,314,BAC,D
71132100,1106561,ENG. DE BIOTECNOLOGIA BIOPROCESSOS,138,BAC,D
15121100,13440,ENGENHARIA AGRÍCOLA,150,BAC,D
91130100,112282,ENGENHARIA AMBIENTAL,313,BAC,D
15122100,13439,ENGENHARIA CIVIL,625,BAC,D
91122100,1280408,ENGENHARIA CIVIL,196,BAC,D
15125100,118550,ENGENHARIA DE ALIMENTOS,154,BAC,D
91125100,112294,ENGENHARIA DE ALIMENTOS,253,BAC,D
71131100,1106562,ENGENHARIA DE BIOSSISTEMAS,136,BAC,D
11126100,13445,ENGENHARIA DE MATERIAIS,228,BAC,D
15127100,13444,ENGENHARIA DE MINAS,205,BAC,D
11135100,118562,ENGENHARIA DE PETRÓLEO,206,BAC,D
11133100,79570,ENGENHARIA DE PRODUÇÃO,212,BAC,D
71133100,1106578,ENGENHARIA DE PRODUÇÃO,200,BAC,D
14123100,13438,ENGENHARIA ELÉTRICA,1084,BAC,D
41403100,13456,ENGENHARIA FLORESTAL,127,BAC,D
11124100,13442,ENGENHARIA MECÂNICA,416,BAC,D
11128100,13441,ENGENHARIA QUÍMICA,259,BAC,D
11134100,1120733,ESTATÍSTICA,53,BAC,D
51203100,107495,FARMÁCIA,366,BAC,D
13314250,121366,FILOSOFIA,44,BAC,N
13314210,121367,FILOSOFIA,61,LIC,N
11105150,318388,FÍSICA,39,BAC,D
11105110,1204358,FÍSICA,38,LIC,D
51105110,99810,FÍSICA,61,LIC,D
21105210,1152879,FÍSICA,93,LIC,N
51105210,99810,FÍSICA,71,LIC,N
13316110,120777,GEOGRAFIA,127,LIC,M
13316210,120777,GEOGRAFIA,153,LIC,N
21316110,13407,GEOGRAFIA,174,LIC,M
21316210,13407,GEOGRAFIA,136,LIC,N
13309250,313449,HISTÓRIA,3,BAC,N
13309110,13449,HISTÓRIA,142,LIC,D
21309110,13405,HISTÓRIA,182,LIC,M
19309110,13449,HISTÓRIA,16,LIC,M
13309210,13449,HISTÓRIA,182,LIC,N
21309210,13405,HISTÓRIA,218,LIC,N
71315110,1106596,INTERDISCIPLINAR EM EDUC. DO CAMPOD,103,LIC,D
13310214,43962,LETRAS ESPANHOL,73,LIC,N
13310115,1158117,LETRAS LÍNG.PORT./LÍNG.FRANC. D,35,LIC,D
13310112,1158117,LETRAS LÍNGUA LIT. FRANCESA,2,BAC,D
13310113,1158907,LETRAS LÍNGUA LIT. INGLESA,1,BAC,D
13310213,1158907,LETRAS LÍNGUA LIT. INGLESA,1,BAC,N
13310111,1158116,LETRAS LÍNGUA LIT. PORTUGUESA,1,BAC,D
13310211,1158116,LETRAS LÍNGUA LIT. PORTUGUESA,16,BAC,N
13310116,1158907,LETRAS LÍNGUA INGLESA,72,LIC,D
