Cód.,EMEC,Curso,Alunos ativos,Tipo,Turno
13301100,13434,ADMINISTRAÇÃO,301,BAC,D
13301200,13434,ADMINISTRAÇÃO,184,BAC,N
31301200,118546,ADMINISTRAÇÃO,233,BAC,N
91402100,99800,AGRONOMIA,311,BAC,D
15101100,1129147,ARQUITETURA URBANISMO,219,BAC,D
13317100,21164,ARTE MÍDIA,147,BAC,D
14102100,13446,CIÊNCIA DA COMPUTAÇÃO,804,BAC,D
21103114,13432,CIÊNCIAS FÍSICA,1,LIC,M
41201110,99802,CIÊNCIAS BIOLÓGICAS,148,LIC,D
51201110,99804,CIÊNCIAS BIOLÓGICAS,130,LIC,D
21201110,1152882,CIÊNCIAS BIOLÓGICAS,138,LIC,M
41201210,99802,CIÊNCIAS BIOLÓGICAS,191,LIC,N
51201210,99804,CIÊNCIAS BIOLÓGICAS,166,LIC,N
31360200,79567,CIÊNCIAS CONTÁBEIS,242,BAC,N
13304100,13451,CIÊNCIAS ECONÔMICAS,133,BAC,M
13304200,13451,CIÊNCIAS ECONÔMICAS,146,BAC,N
13305150,313436,CIÊNCIAS SOCIAIS,72,BAC,D
13305210,13436,CIÊNCIAS SOCIAIS,133,LIC,N
71305210,1106595,CIÊNCIAS SOCIAIS,139,LIC,N
13306100,1149786,COMUNICAÇÃO SOCIAL,139,BAC,D
13306200,1149786,COMUNICAÇÃO SOCIAL,136,BAC,N
11104120,13447,DESIGN,238,BAC,D
31350100,13433,DIREITO,311,BAC,M
31350200,13433,DIREITO,344,BAC,N
31350300,13433,DIREITO,299,BAC,V
12204100,1134328,ENFERMAGEM,173,BAC,D
21204100,79572,ENFERMAGEM,243,BAC,D
51204100,107492,ENFERMAGEM,281,BAC,D
71132100,1106561,ENG. DE BIOTECNOLOGIA BIOPROCESSOS,139,BAC,D
15121100,13440,ENGENHARIA AGRÍCOLA,153,BAC,D
91130100,112282,ENGENHARIA AMBIENTAL,288,BAC,D
15122100,13439,ENGENHARIA CIVIL,620,BAC,D
91122100,1280408,ENGENHARIA CIVIL,333,BAC,D
15125100,118550,ENGENHARIA DE ALIMENTOS,141,BAC,D
91125100,112294,ENGENHARIA DE ALIMENTOS,232,BAC,D
71131100,1106562,ENGENHARIA DE BIOSSISTEMAS,136,BAC,D
11126100,13445,ENGENHARIA DE MATERIAIS,210,BAC,D
15127100,13444,ENGENHARIA DE MINAS,176,BAC,D
