Cód.,EMEC,Curso,Alunos ativos,Tipo,Turno
13301100,13434,ADMINISTRAÇÃO,334,BAC,D
13301200,13434,ADMINISTRAÇÃO,197,BAC,N
31301200,118546,ADMINISTRAÇÃO,216,BAC,N
91402100,99800,AGRONOMIA,294,BAC,D
15101100,1129147,ARQUITETURA URBANISMO,230,BAC,D
13317100,21164,ARTE MÍDIA,157,BAC,D
14102100,13446,CIÊNCIA DA COMPUTAÇÃO,966,BAC,D
41201110,99802,CIÊNCIAS BIOLÓGICAS,125,LIC,D
51201110,99804,CIÊNCIAS BIOLÓGICAS,120,LIC,D
21201110,1152882,CIÊNCIAS BIOLÓGICAS,146,LIC,M
41201210,99802,CIÊNCIAS BIOLÓGICAS,190,LIC,N
51201210,99804,CIÊNCIAS BIOLÓGICAS,152,LIC,N
31360200,79567,CIÊNCIAS CONTÁBEIS,250,BAC,N
13304100,13451,CIÊNCIAS ECONÔMICAS,155,BAC,M
13304200,13451,CIÊNCIAS ECONÔMICAS,158,BAC,N
13305150,313436,CIÊNCIAS SOCIAIS,90,BAC,D
13305210,13436,CIÊNCIAS SOCIAIS,155,LIC,N
71305210,1106595,CIÊNCIAS SOCIAIS,154,LIC,N
13306100,1149786,COMUNICAÇÃO SOCIAL,138,BAC,D
13306200,1149786,COMUNICAÇÃO SOCIAL,160,BAC,N
11104120,13447,DESIGN,249,BAC,D
31350100,13433,DIREITO,301,BAC,M
31350200,13433,DIREITO,329,BAC,N
31350300,13433,DIREITO,287,BAC,V
12204100,1134328,ENFERMAGEM,257,BAC,D
21204100,79572,ENFERMAGEM,290,BAC,D
51204100,107492,ENFERMAGEM,286,BAC,D
71132100,1106561,ENG. DE BIOTECNOLOGIA BIOPROCESSOS,96,BAC,D
15121100,13440,ENGENHARIA AGRÍCOLA,148,BAC,D
91130100,112282,ENGENHARIA AMBIENTAL,135,BAC,D
15122100,13439,ENGENHARIA CIVIL,570,BAC,D
91122100,1280408,ENGENHARIA CIVIL,380,BAC,D
15125100,118550,ENGENHARIA DE ALIMENTOS,130,BAC,D
91125100,112294,ENGENHARIA DE ALIMENTOS,192,BAC,D
71131100,1106562,ENGENHARIA DE BIOSSISTEMAS,80,BAC,D
11126100,13445,ENGENHARIA DE MATERIAIS,187,BAC,D
15127100,13444,ENGENHARIA DE MINAS,116,BAC,D
11135100,118562,ENGENHARIA DE PETRÓLEO,139,BAC,D
11133100,79570,ENGENHARIA DE PRODUÇÃO,171,BAC,D
71133100,1106578,ENGENHARIA DE PRODUÇÃO,139,BAC,D
14123100,13438,ENGENHARIA ELÉTRICA,984,BAC,D
41403100,13456,ENGENHARIA FLORESTAL,94,BAC,D
11124100,13442,ENGENHARIA MECÂNICA,340,BAC,D
11128100,13441,ENGENHARIA QUÍMICA,208,BAC,D
11134100,1120733,ESTATÍSTICA,67,BAC,D
51203100,107495,FARMÁCIA,427,BAC,D
13314250,121366,FILOSOFIA,50,BAC,N
13314210,121367,FILOSOFIA,70,LIC,N
11105150,318388,FÍSICA,46,BAC,D
11105110,1204358,FÍSICA,56,LIC,D
51105110,99810,FÍSICA,90,LIC,D
21105210,1152879,FÍSICA,135,LIC,N
51105210,99810,FÍSICA,115,LIC,N
13316110,120777,GEOGRAFIA,123,LIC,M
13316210,120777,GEOGRAFIA,135,LIC,N
21316110,13407,GEOGRAFIA,177,LIC,M
21316210,13407,GEOGRAFIA,168,LIC,N
13309110,13449,HISTÓRIA,155,LIC,D
21309110,13405,HISTÓRIA,190,LIC,M
13309210,13449,HISTÓRIA,168,LIC,N
21309210,13405,HISTÓRIA,242,LIC,N
71315110,1106596,INTERDISCIPLINAR EM EDUC. DO CAMPOD,125,LIC,D
13310214,43962,LETRAS ESPANHOL,80,LIC,N
13323110,1364560,LETRAS LIBRAS,92,LIC,D
13310115,1158117,LETRAS LÍNG.PORT./LÍNG.FRANC. D,66,LIC,D
13310116,1158907,LETRAS LÍNGUA INGLESA,82,LIC,D
21310116,1162185,LETRAS LÍNGUA INGLESA,98,LIC,D
21310110,1160083,LETRAS LÍNGUA PORTUGUESA,97,LIC,M
13310210,1158116,LETRAS LÍNGUA PORTUGUESA,119,LIC,N
21310210,1160083,LETRAS LÍNGUA PORTUGUESA,179,LIC,N
13310110,1158116,LETRAS LÍNGUA PORTUGUESA,134,LIC,D
13345110,1184381,LICENCIATURA INTERCULTURAL INDÍGENA,13,BAC,D
11107150,313448,MATEMÁTICA,25,BAC,D
11107110,13448,MATEMÁTICA,65,LIC,D
21107110,1152880,MATEMÁTICA,115,LIC,D
51107110,99806,MATEMÁTICA,90,LIC,D
11107210,13448,MATEMÁTICA,82,LIC,N
51107210,99806,MATEMÁTICA,99,LIC,N
12205100,13453,MEDICINA,596,BAC,D
21205100,1101742,MEDICINA,192,BAC,D
41410100,13437,MEDICINA VETERINÁRIA,518,BAC,D
15108100,13435,METEOROLOGIA,66,BAC,D
13311150,118632,MÚSICA,40,BAC,D
13311110,118630,MÚSICA,58,LIC,D
51206100,118910,NUTRIÇÃO,380,BAC,D
41207100,122676,ODONTOLOGIA,449,BAC,D
13312110,13452,PEDAGOGIA,120,LIC,M
13312210,13452,PEDAGOGIA,122,LIC,N
21312110,13410,PEDAGOGIA,180,LIC,M
21312210,13410,PEDAGOGIA,225,LIC,N
12208100,1108087,PSICOLOGIA,430,BAC,D
12208200,1108087,PSICOLOGIA,14,BAC,N
51109110,99808,QUÍMICA,80,LIC,D
21109210,1152881,QUÍMICA,153,LIC,N
51109210,99808,QUÍMICA,111,LIC,N
31340100,1117877,SERVIÇO SOCIAL,150,BAC,M
71420100,1150096,TECNOLOGIA EM AGROECOLOGIA,81,BAC,D
71318200,1135705,TECNOLOGIA EM GESTÃO PÚBLICA,130,BAC,N
