Cód.,EMEC,Curso,Alunos ativos,Tipo,Turno
13301100,13434,ADMINISTRAÇÃO,292,BAC,D
13301200,13434,ADMINISTRAÇÃO,185,BAC,N
31301200,118546,ADMINISTRAÇÃO,194,BAC,N
91402100,99800,AGRONOMIA,221,BAC,D
15101100,1129147,ARQUITETURA URBANISMO,221,BAC,D
13317100,21164,ARTE MÍDIA,159,BAC,D
14102100,13446,CIÊNCIA DA COMPUTAÇÃO,952,BAC,D
41201110,99802,CIÊNCIAS BIOLÓGICAS,126,LIC,D
51201110,99804,CIÊNCIAS BIOLÓGICAS,125,LIC,D
21201110,1152882,CIÊNCIAS BIOLÓGICAS,143,LIC,M
41201210,99802,CIÊNCIAS BIOLÓGICAS,190,LIC,N
51201210,99804,CIÊNCIAS BIOLÓGICAS,162,LIC,N
31360200,79567,CIÊNCIAS CONTÁBEIS,237,BAC,N
13304100,13451,CIÊNCIAS ECONÔMICAS,134,BAC,M
13304200,13451,CIÊNCIAS ECONÔMICAS,138,BAC,N
13305150,313436,CIÊNCIAS SOCIAIS,85,BAC,D
13305210,13436,CIÊNCIAS SOCIAIS,144,LIC,N
71305210,1106595,CIÊNCIAS SOCIAIS,132,LIC,N
13306100,1149786,COMUNICAÇÃO SOCIAL,130,BAC,D
13306200,1149786,COMUNICAÇÃO SOCIAL,148,BAC,N
11104120,13447,DESIGN,243,BAC,D
31350100,13433,DIREITO,299,BAC,M
31350200,13433,DIREITO,334,BAC,N
31350300,13433,DIREITO,280,BAC,V
12204100,1134328,ENFERMAGEM,263,BAC,D
21204100,79572,ENFERMAGEM,304,BAC,D
51204100,107492,ENFERMAGEM,283,BAC,D
71132100,1106561,ENG. DE BIOTECNOLOGIA BIOPROCESSOS,66,BAC,D
15121100,13440,ENGENHARIA AGRÍCOLA,139,BAC,D
91130100,112282,ENGENHARIA AMBIENTAL,100,BAC,D
15122100,13439,ENGENHARIA CIVIL,555,BAC,D
91122100,1280408,ENGENHARIA CIVIL,331,BAC,D
15125100,118550,ENGENHARIA DE ALIMENTOS,117,BAC,D
91125100,112294,ENGENHARIA DE ALIMENTOS,135,BAC,D
71131100,1106562,ENGENHARIA DE BIOSSISTEMAS,64,BAC,D
11126100,13445,ENGENHARIA DE MATERIAIS,174,BAC,D
15127100,13444,ENGENHARIA DE MINAS,115,BAC,D
11135100,118562,ENGENHARIA DE PETRÓLEO,128,BAC,D
11133100,79570,ENGENHARIA DE PRODUÇÃO,152,BAC,D
71133100,1106578,ENGENHARIA DE PRODUÇÃO,114,BAC,D
14123100,13438,ENGENHARIA ELÉTRICA,909,BAC,D
41403100,13456,ENGENHARIA FLORESTAL,94,BAC,D
11124100,13442,ENGENHARIA MECÂNICA,326,BAC,D
11128100,13441,ENGENHARIA QUÍMICA,206,BAC,D
11134100,1120733,ESTATÍSTICA,56,BAC,D
51203100,107495,FARMÁCIA,401,BAC,D
13314250,121366,FILOSOFIA,49,BAC,N
13314210,121367,FILOSOFIA,76,LIC,N
11105150,318388,FÍSICA,52,BAC,D
11105110,1204358,FÍSICA,55,LIC,D
51105110,99810,FÍSICA,73,LIC,D
21105210,1152879,FÍSICA,122,LIC,N
51105210,99810,FÍSICA,113,LIC,N
13316110,120777,GEOGRAFIA,125,LIC,M
13316210,120777,GEOGRAFIA,137,LIC,N
21316110,13407,GEOGRAFIA,171,LIC,M
21316210,13407,GEOGRAFIA,169,LIC,N
13309110,13449,HISTÓRIA,152,LIC,D
21309110,13405,HISTÓRIA,197,LIC,M
13309210,13449,HISTÓRIA,158,LIC,N
21309210,13405,HISTÓRIA,249,LIC,N
71315110,1106596,INTERDISCIPLINAR EM EDUC. DO CAMPOD,109,LIC,D
13310214,43962,LETRAS ESPANHOL,80,LIC,N
13323110,1364560,LETRAS LIBRAS,83,LIC,D
13310115,1158117,LETRAS LÍNG.PORT./LÍNG.FRANC. D,59,LIC,D
13310116,1158907,LETRAS LÍNGUA INGLESA,90,LIC,D
21310116,1162185,LETRAS LÍNGUA INGLESA,86,LIC,D
21310110,1160083,LETRAS LÍNGUA PORTUGUESA,90,LIC,M
13310210,1158116,LETRAS LÍNGUA PORTUGUESA,126,LIC,N
21310210,1160083,LETRAS LÍNGUA PORTUGUESA,174,LIC,N
13310110,1158116,LETRAS LÍNGUA PORTUGUESA,130,LIC,D
13345110,1184381,LICENCIATURA INTERCULTURAL INDÍGENA,13,BAC,D
11107150,313448,MATEMÁTICA,25,BAC,D
11107110,13448,MATEMÁTICA,66,LIC,D
21107110,1152880,MATEMÁTICA,122,LIC,D
51107110,99806,MATEMÁTICA,98,LIC,D
11107210,13448,MATEMÁTICA,76,LIC,N
51107210,99806,MATEMÁTICA,118,LIC,N
12205100,13453,MEDICINA,601,BAC,D
21205100,1101742,MEDICINA,185,BAC,D
41410100,13437,MEDICINA VETERINÁRIA,499,BAC,D
15108100,13435,METEOROLOGIA,59,BAC,D
13311150,118632,MÚSICA,38,BAC,D
13311110,118630,MÚSICA,60,LIC,D
51206100,118910,NUTRIÇÃO,318,BAC,D
41207100,122676,ODONTOLOGIA,428,BAC,D
13312110,13452,PEDAGOGIA,128,LIC,M
13312210,13452,PEDAGOGIA,113,LIC,N
21312110,13410,PEDAGOGIA,189,LIC,M
21312210,13410,PEDAGOGIA,233,LIC,N
12208100,1108087,PSICOLOGIA,429,BAC,D
12208200,1108087,PSICOLOGIA,7,BAC,N
51109110,99808,QUÍMICA,74,LIC,D
21109210,1152881,QUÍMICA,130,LIC,N
51109210,99808,QUÍMICA,110,LIC,N
31340100,1117877,SERVIÇO SOCIAL,152,BAC,M
71420100,1150096,TECNOLOGIA EM AGROECOLOGIA,53,BAC,D
71318200,1135705,TECNOLOGIA EM GESTÃO PÚBLICA,122,BAC,N
