Cód.,EMEC,Curso,Alunos ativos,Tipo,Turno
13301100,13434,ADMINISTRAÇÃO,293,BAC,D
13301200,13434,ADMINISTRAÇÃO,190,BAC,N
31301200,118546,ADMINISTRAÇÃO,202,BAC,N
91402100,99800,AGRONOMIA,218,BAC,D
15101100,1129147,ARQUITETURA URBANISMO,218,BAC,D
13317100,21164,ARTE MÍDIA,169,BAC,D
14102100,13446,CIÊNCIA DA COMPUTAÇÃO,931,BAC,D
41201110,99802,CIÊNCIAS BIOLÓGICAS,125,LIC,D
51201110,99804,CIÊNCIAS BIOLÓGICAS,127,LIC,D
21201110,1152882,CIÊNCIAS BIOLÓGICAS,151,LIC,M
41201210,99802,CIÊNCIAS BIOLÓGICAS,187,LIC,N
51201210,99804,CIÊNCIAS BIOLÓGICAS,153,LIC,N
31360200,79567,CIÊNCIAS CONTÁBEIS,229,BAC,N
13304100,13451,CIÊNCIAS ECONÔMICAS,120,BAC,M
13304200,13451,CIÊNCIAS ECONÔMICAS,146,BAC,N
13305150,313436,CIÊNCIAS SOCIAIS,81,BAC,D
13305210,13436,CIÊNCIAS SOCIAIS,137,LIC,N
71305210,1106595,CIÊNCIAS SOCIAIS,119,LIC,N
13306100,1149786,COMUNICAÇÃO SOCIAL,124,BAC,D
13306200,1149786,COMUNICAÇÃO SOCIAL,146,BAC,N
11104120,13447,DESIGN,263,BAC,D
31350100,13433,DIREITO,300,BAC,M
31350200,13433,DIREITO,340,BAC,N
31350300,13433,DIREITO,272,BAC,V
12204100,1134328,ENFERMAGEM,277,BAC,D
21204100,79572,ENFERMAGEM,314,BAC,D
51204100,107492,ENFERMAGEM,273,BAC,D
71132100,1106561,ENG. DE BIOTECNOLOGIA BIOPROCESSOS,62,BAC,D
15121100,13440,ENGENHARIA AGRÍCOLA,135,BAC,D
91130100,112282,ENGENHARIA AMBIENTAL,86,BAC,D
15122100,13439,ENGENHARIA CIVIL,544,BAC,D
91122100,1280408,ENGENHARIA CIVIL,257,BAC,D
15125100,118550,ENGENHARIA DE ALIMENTOS,117,BAC,D
91125100,112294,ENGENHARIA DE ALIMENTOS,108,BAC,D
71131100,1106562,ENGENHARIA DE BIOSSISTEMAS,48,BAC,D
11126100,13445,ENGENHARIA DE MATERIAIS,135,BAC,D
15127100,13444,ENGENHARIA DE MINAS,125,BAC,D
11135100,118562,ENGENHARIA DE PETRÓLEO,98,BAC,D
11133100,79570,ENGENHARIA DE PRODUÇÃO,145,BAC,D
71133100,1106578,ENGENHARIA DE PRODUÇÃO,94,BAC,D
14123100,13438,ENGENHARIA ELÉTRICA,897,BAC,D
41403100,13456,ENGENHARIA FLORESTAL,84,BAC,D
11124100,13442,ENGENHARIA MECÂNICA,331,BAC,D
11128100,13441,ENGENHARIA QUÍMICA,192,BAC,D
11134100,1120733,ESTATÍSTICA,39,BAC,D
51203100,107495,FARMÁCIA,382,BAC,D
13314250,121366,FILOSOFIA,38,BAC,N
13314210,121367,FILOSOFIA,69,LIC,N
11105150,318388,FÍSICA,52,BAC,D
11105110,1204358,FÍSICA,53,LIC,D
51105110,99810,FÍSICA,64,LIC,D
21105210,1152879,FÍSICA,122,LIC,N
51105210,99810,FÍSICA,94,LIC,N
13316110,120777,GEOGRAFIA,136,LIC,M
13316210,120777,GEOGRAFIA,128,LIC,N
21316110,13407,GEOGRAFIA,179,LIC,M
21316210,13407,GEOGRAFIA,163,LIC,N
13309110,13449,HISTÓRIA,152,LIC,D
21309110,13405,HISTÓRIA,199,LIC,M
13309210,13449,HISTÓRIA,155,LIC,N
21309210,13405,HISTÓRIA,242,LIC,N
71315110,1106596,INTERDISCIPLINAR EM EDUC. DO CAMPOD,100,LIC,D
13310214,43962,LETRAS ESPANHOL,82,LIC,N
13323110,1364560,LETRAS LIBRAS,86,LIC,D
13310115,1158117,LETRAS LÍNG.PORT./LÍNG.FRANC. D,57,LIC,D
13310116,1158907,LETRAS LÍNGUA INGLESA,91,LIC,D
21310116,1162185,LETRAS LÍNGUA INGLESA,93,LIC,D
21310110,1160083,LETRAS LÍNGUA PORTUGUESA,92,LIC,M
13310210,1158116,LETRAS LÍNGUA PORTUGUESA,131,LIC,N
21310210,1160083,LETRAS LÍNGUA PORTUGUESA,167,LIC,N
13310110,1158116,LETRAS LÍNGUA PORTUGUESA,126,LIC,D
13345110,1184381,LICENCIATURA INTERCULTURAL INDÍGENA,13,BAC,D
11107150,313448,MATEMÁTICA,20,BAC,D
11107110,13448,MATEMÁTICA,69,LIC,D
21107110,1152880,MATEMÁTICA,121,LIC,D
51107110,99806,MATEMÁTICA,87,LIC,D
11107210,13448,MATEMÁTICA,79,LIC,N
51107210,99806,MATEMÁTICA,113,LIC,N
12205100,13453,MEDICINA,605,BAC,D
21205100,1101742,MEDICINA,196,BAC,D
41410100,13437,MEDICINA VETERINÁRIA,460,BAC,D
15108100,13435,METEOROLOGIA,47,BAC,D
13311150,118632,MÚSICA,45,BAC,D
13311110,118630,MÚSICA,64,LIC,D
51206100,118910,NUTRIÇÃO,312,BAC,D
41207100,122676,ODONTOLOGIA,412,BAC,D
13312110,13452,PEDAGOGIA,124,LIC,M
13312210,13452,PEDAGOGIA,125,LIC,N
21312110,13410,PEDAGOGIA,196,LIC,M
21312210,13410,PEDAGOGIA,230,LIC,N
12208100,1108087,PSICOLOGIA,440,BAC,D
12208200,1108087,PSICOLOGIA,1,BAC,N
51109110,99808,QUÍMICA,65,LIC,D
21109210,1152881,QUÍMICA,138,LIC,N
51109210,99808,QUÍMICA,92,LIC,N
31340100,1117877,SERVIÇO SOCIAL,143,BAC,M
71420100,1150096,TECNOLOGIA EM AGROECOLOGIA,42,BAC,D
71318200,1135705,TECNOLOGIA EM GESTÃO PÚBLICA,107,BAC,N
